,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
55,57,57,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0909662246704102,26.3,3.2878564445547194,-0.45368868,1.6728528182998865,0.003229321206150336,0.022730373,0.13045996284664416,0.00201546168452394,5,5,0.6,leaf,manhattan
56,16,16,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",10.28673288822174,18.9,2.2561028345356955,-0.46079308,1.7123249198607415,0.00444221463071492,0.03571031,0.2058206299125576,0.0017626636452198047,5,2,0.4,leaf,mahalanobis
57,47,47,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.997511339187622,140.1,8.005623023850173,-0.47383705,1.2262796708226056,0.0022658661588420164,0.029099902,0.03247568638553307,0.0006196173191158321,5,5,0.2,leaf,euclidean
58,51,51,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0376671075820922,129.7,7.294518489934754,-0.47481886,1.23890470008118,0.0017758210417861333,0.025583338,0.04484412851560273,0.0004473802435036502,5,5,0.4,leaf,manhattan
59,11,11,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9783571481704711,417.5,14.98165544924859,-0.5454351,1.271888364584974,0.0021919487609079963,0.037124082,0.0352292575688681,0.0005205602172545198,5,2,0.2,leaf,euclidean
60,46,46,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",10.017410111427306,164.0,10.0,-0.54727304,1.2400482025596467,0.0018495431653916053,0.019406721,0.016934778389469902,0.000801772962765831,5,5,0.2,leaf,mahalanobis
61,15,15,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0796631813049316,386.8,10.467091286503619,-0.55552423,1.2969686674331056,0.0018495180638942806,0.02065455,0.036967263831856445,0.000706507697246539,5,2,0.4,leaf,manhattan
62,21,21,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0860405445098877,61.7,6.450581369148055,-0.5711829,1.6783306631316866,0.002902162816428458,0.013878453,0.05452703688121112,0.0009197067561232313,5,2,0.6,leaf,manhattan
63,41,41,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9632073402404785,272.1,12.715738279785409,-0.58616483,1.0971139968403008,0.0011721178551259558,0.0042035044,0.01462018233641245,0.00047989058330603825,5,5,0.1,leaf,euclidean
64,45,45,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0915207147598267,263.7,9.829038610159184,-0.5962469,1.1046005243566663,0.0012708285118936422,0.006530708,0.017380719515850115,0.00029872192994222945,5,5,0.2,leaf,manhattan
65,10,10,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.73667905330658,480.6,22.799999999999997,-0.6007376,1.245181056156719,0.0020623014745453977,0.019340863,0.03479005771359841,0.0012359645643753477,5,2,0.2,leaf,mahalanobis
66,40,40,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.901722741127013,256.0,6.387487769068525,-0.60980034,1.1308410631839962,0.0011612269856979029,0.0053045405,0.025359904159128747,0.00039149029074610767,5,5,0.1,leaf,mahalanobis
67,5,5,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",2.351013445854187,763.0,14.53272169966796,-0.6180304,1.1385315383564063,0.0011169221505267196,0.005362732,0.005825756542100258,0.0003641958950519147,5,2,0.1,leaf,euclidean
68,9,9,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",2.2296159982681276,747.4,11.655041827466773,-0.62654555,1.142126275688148,0.0013111457611320561,0.0053180093,0.00814737652716338,0.000218541048623901,5,2,0.2,leaf,manhattan
69,39,39,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.090480375289917,279.6,11.083320801997928,-0.6283373,1.0944947115428918,0.0010701112636830798,0.0072981077,0.02202510760310667,0.000553936794581255,5,5,0.1,leaf,manhattan
70,4,4,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",13.247274041175842,721.9,19.175244457372635,-0.64479303,1.1730336438975055,0.0010390272834046922,0.004600754,0.005876626940778797,0.00024370913573435246,5,2,0.1,leaf,mahalanobis
71,3,3,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",2.7522529125213624,790.0,24.847535089018386,-0.6589395,1.1375955526026416,0.0005316291054131384,0.00421507,0.0049647537871809685,0.00022701283658039663,5,2,0.1,leaf,manhattan
